Date,POUND_Rate,Buy,Sell
25/01/2021,150.235,150.0847,150.3853
22/01/2021,150.6382,150.4888,150.7876
21/01/2021,150.6147,150.4618,150.7676
20/01/2021,150.0262,149.8835,150.1688
19/01/2021,149.2229,149.0741,149.3718
18/01/2021,150.1094,149.9535,150.2653
15/01/2021,150.1832,150.0288,150.3376
14/01/2021,150.3503,150.1947,150.5059
13/01/2021,149.1085,148.9547,149.2624
12/1/2021,148.1059,147.9476,148.2641
11/1/2021,148.7938,148.6382,148.9494
8/1/2021,148.8885,148.7318,149.0453
7/1/2021,149.0074,148.8535,149.1612
6/1/2021,148.6091,148.4576,148.7606
5/1/2021,149.15,149.0006,149.2994
4/1/2021,149.0659,148.9159,149.2159
31/12/2020,148.357,148.2054,148.5085
30/12/2020,147.2126,147.0629,147.3624
29/12/2020,146.8238,146.6759,146.9718
28/12/2020,147.625,147.4741,147.7759
24/12/2020,146.1062,145.9559,146.2565
23/12/2020,146.9141,146.7635,147.0647
22/12/2020,147.4941,147.3412,147.6471
21/12/2020,150.7206,150.5706,150.8706
18/12/2020,151.7106,151.5576,151.8635
17/12/2020,150.7518,150.5982,150.9053
16/12/2020,149.1391,148.99,149.2882
15/12/2020,149.7853,149.6324,149.9382
14/12/2020,147.2235,147.0735,147.3735
11/12/2020,148.2362,148.0912,148.3812
10/12/2020,149.9371,149.7853,150.0888
